"Id","X1","X2","CLASS","MIN","INT","MAJ","Actual class safety"
"222.479195,145.250203,MIN","222.479195","145.250203","MIN","3","10","17","3"
"342.479195,87.472425,MIN","342.479195","87.472425","MIN","0","18","27","0"
"282.479195,167.472425,MIN","282.479195","167.472425","MIN","0","18","27","0"
"402.479195,127.472425,MIN","402.479195","127.472425","MIN","3","14","23","3"
"207.479195,114.139092,MIN","207.479195","114.139092","MIN","0","10","15","0"
"327.479195,194.139092,MIN","327.479195","194.139092","MIN","6","10","19","6"
"262.888176,437.642939,INT","262.888176","437.642939","INT","15","0","10","0"
"385.523992,265.054404,INT","385.523992","265.054404","INT","15","0","10","0"
"410.024434,279.990414,INT","410.024434","279.990414","INT","15","0","10","0"
"333.546146,236.901133,INT","333.546146","236.901133","INT","15","0","10","0"
"327.800987,501.950225,INT","327.800987","501.950225","INT","19","5","8","5"
"241.111396,241.79945,INT","241.111396","241.79945","INT","19","5","8","5"
"449.707524,383.098541,INT","449.707524","383.098541","INT","9","8","18","8"
"238.238816,374.323996,INT","238.238816","374.323996","INT","3","8","14","8"
"380.314658,510.406572,INT","380.314658","510.406572","INT","15","0","10","0"
"224.276737,295.140965,INT","224.276737","295.140965","INT","12","2","11","2"
"430.476263,336.039021,INT","430.476263","336.039021","INT","19","5","8","5"
"374.49434,266.575485,INT","374.49434","266.575485","INT","15","0","10","0"
"247.794949,426.969453,INT","247.794949","426.969453","INT","15","0","10","0"
"259.107126,226.562719,INT","259.107126","226.562719","INT","6","8","16","8"
"225.437808,333.245749,INT","225.437808","333.245749","INT","19","5","8","5"
"235.976171,268.998729,INT","235.976171","268.998729","INT","15","0","10","0"
"410.902981,516.980851,INT","410.902981","516.980851","INT","15","0","10","0"
"449.499109,363.831305,INT","449.499109","363.831305","INT","15","0","10","0"
"282.446847,445.7383,INT","282.446847","445.7383","INT","15","0","10","0"
"232.641992,283.848761,INT","232.641992","283.848761","INT","12","2","11","2"
"297.792791,231.693256,INT","297.792791","231.693256","INT","3","8","14","8"
"228.399926,359.001287,INT","228.399926","359.001287","INT","6","6","13","6"
"436.996053,500.300378,INT","436.996053","500.300378","INT","15","0","10","0"
"352.405228,243.784772,INT","352.405228","243.784772","INT","15","0","10","0"
"346.660069,508.833863,INT","346.660069","508.833863","INT","15","0","10","0"
"255.772947,241.412751,INT","255.772947","241.412751","INT","15","0","10","0"
"235.038593,384.249797,INT","235.038593","384.249797","INT","6","8","16","8"
"377.114435,520.332373,INT","377.114435","520.332373","INT","15","0","10","0"
"221.076514,305.066766,INT","221.076514","305.066766","INT","19","5","8","5"
"301.514344,471.889174,INT","301.514344","471.889174","INT","15","0","10","0"
"430.446456,310.206144,INT","430.446456","310.206144","INT","19","5","8","5"
"268.886753,432.564029,INT","268.886753","432.564029","INT","15","0","10","0"
"433.840249,347.021866,INT","433.840249","347.021866","INT","15","0","10","0"
"276.745989,466.801626,INT","276.745989","466.801626","INT","15","0","10","0"
"362.155164,504.734656,INT","362.155164","504.734656","INT","15","0","10","0"
"380.492917,261.496575,INT","380.492917","261.496575","INT","15","0","10","0"
"463.029512,431.954151,INT","463.029512","431.954151","INT","15","0","10","0"
"402.195005,271.585694,INT","402.195005","271.585694","INT","15","0","10","0"
"334.647604,223.340164,INT","334.647604","223.340164","INT","16","7","9","7"
"328.902444,488.389255,INT","328.902444","488.389255","INT","15","0","10","0"
"396.107473,522.291781,INT","396.107473","522.291781","INT","15","0","10","0"
"448.66568,448.325265,INT","448.66568","448.325265","INT","15","0","10","0"
"246.80323,414.61698,INT","246.80323","414.61698","INT","19","5","8","5"
"369.439046,242.028444,INT","369.439046","242.028444","INT","15","0","10","0"
"237.083217,260.281424,INT","237.083217","260.281424","INT","15","0","10","0"
"412.010027,508.263546,INT","412.010027","508.263546","INT","15","0","10","0"
"450.606155,355.114,INT","450.606155","355.114","INT","19","5","8","5"
"272.52424,438.542077,INT","272.52424","438.542077","INT","15","0","10","0"
"395.160057,265.953541,INT","395.160057","265.953541","INT","15","0","10","0"
"459.834878,446.723617,INT","459.834878","446.723617","INT","15","0","10","0"
"297.500661,220.552505,INT","297.500661","220.552505","INT","3","8","14","8"
"401.798725,291.202051,INT","401.798725","291.202051","INT","15","0","10","0"
"228.107795,347.860536,INT","228.107795","347.860536","INT","15","0","10","0"
"436.703923,489.159627,INT","436.703923","489.159627","INT","15","0","10","0"
"352.113097,232.644021,INT","352.113097","232.644021","INT","19","5","8","5"
"252.449266,225.021202,INT","252.449266","225.021202","INT","3","8","14","8"
"360.394424,511.675199,INT","360.394424","511.675199","INT","15","0","10","0"
"299.485691,488.678178,INT","299.485691","488.678178","INT","19","5","8","5"
"428.417803,326.995148,INT","428.417803","326.995148","INT","19","5","8","5"
"278.974015,219.400913,INT","278.974015","219.400913","INT","0","14","21","14"
"453.900824,467.383035,INT","453.900824","467.383035","INT","15","0","10","0"
"229.050398,277.305673,INT","229.050398","277.305673","INT","12","2","11","2"
"403.977208,525.287795,INT","403.977208","525.287795","INT","19","5","8","5"
"442.573336,372.13825,INT","442.573336","372.13825","INT","9","8","18","8"
"275.521074,454.045245,INT","275.521074","454.045245","INT","15","0","10","0"
"459.705831,415.562602,INT","459.705831","415.562602","INT","15","0","10","0"
"316.260503,222.108005,INT","316.260503","222.108005","INT","13","9","10","9"
"420.558567,292.757551,INT","420.558567","292.757551","INT","15","0","10","0"
"421.972938,510.051065,INT","421.972938","510.051065","INT","15","0","10","0"
"240.749832,251.163438,INT","240.749832","251.163438","INT","15","0","10","0"
"449.34596,392.462529,INT","449.34596","392.462529","INT","6","8","16","8"
"237.877253,383.687983,INT","237.877253","383.687983","INT","6","8","16","8"
"379.953094,519.77056,INT","379.953094","519.77056","INT","15","0","10","0"
"223.915173,304.504953,INT","223.915173","304.504953","INT","19","5","8","5"
"281.59411,473.157801,INT","281.59411","473.157801","INT","15","0","10","0"
"462.266079,456.090832,INT","462.266079","456.090832","INT","15","0","10","0"
"410.526222,311.474771,INT","410.526222","311.474771","INT","15","0","10","0"
"253.431962,431.254531,INT","253.431962","431.254531","INT","15","0","10","0"
"266.842905,234.482965,INT","266.842905","234.482965","INT","9","8","18","8"
"233.173587,341.165995,INT","233.173587","341.165995","INT","15","0","10","0"
"373.392302,456.953454,INT","373.392302","456.953454","INT","3","8","14","8"
"401.334588,325.350914,INT","401.334588","325.350914","INT","15","0","10","0"
"397.065104,430.45595,INT","397.065104","430.45595","INT","15","0","10","0"
"308.093961,366.353409,INT","308.093961","366.353409","INT","15","0","10","0"
"369.36958,292.485896,INT","369.36958","292.485896","INT","3","8","14","8"
"399.884009,390.338436,INT","399.884009","390.338436","INT","12","2","11","2"
"294.246199,297.368382,INT","294.246199","297.368382","INT","15","0","10","0"
"273.611002,424.752173,INT","273.611002","424.752173","INT","15","0","10","0"
"279.331066,254.659614,INT","279.331066","254.659614","INT","15","0","10","0"
"340.359923,450.364695,INT","340.359923","450.364695","INT","6","8","16","8"
"368.302209,318.762155,INT","368.302209","318.762155","INT","6","8","16","8"
"254.207685,346.144641,INT","254.207685","346.144641","INT","6","6","13","6"
"432.149971,474.349722,INT","432.149971","474.349722","INT","15","0","10","0"
"343.178828,410.247182,INT","343.178828","410.247182","INT","15","0","10","0"
"355.740519,364.504668,INT","355.740519","364.504668","INT","15","0","10","0"
"420.637588,386.909689,INT","420.637588","386.909689","INT","3","8","14","8"
"273.20973,356.557149,INT","273.20973","356.557149","INT","9","4","12","4"
"334.485349,282.689635,INT","334.485349","282.689635","INT","6","6","13","6"
"395.514206,478.394716,INT","395.514206","478.394716","INT","15","0","10","0"
"423.456493,346.792176,INT","423.456493","346.792176","INT","15","0","10","0"
"393.461718,441.089703,INT","393.461718","441.089703","INT","15","0","10","0"
"304.490575,376.987162,INT","304.490575","376.987162","INT","15","0","10","0"
"329.449448,465.217198,INT","329.449448","465.217198","INT","15","0","10","0"
"357.391734,333.614658,INT","357.391734","333.614658","INT","12","2","11","2"
"301.753924,327.247144,INT","301.753924","327.247144","INT","15","0","10","0"
"303.039995,441.974685,INT","303.039995","441.974685","INT","15","0","10","0"
"314.315615,281.504631,INT","314.315615","281.504631","INT","15","0","10","0"
"375.344472,477.209712,INT","375.344472","477.209712","INT","9","8","18","8"
"403.286758,345.607171,INT","403.286758","345.607171","INT","15","0","10","0"
"411.578964,404.969694,INT","411.578964","404.969694","INT","12","2","11","2"
"322.607821,340.867153,INT","322.607821","340.867153","INT","15","0","10","0"
"356.854541,398.074836,INT","356.854541","398.074836","INT","15","0","10","0"
"251.216731,305.104783,INT","251.216731","305.104783","INT","15","0","10","0"
"429.159017,433.309863,INT","429.159017","433.309863","INT","15","0","10","0"
"281.731159,402.957323,INT","281.731159","402.957323","INT","15","0","10","0"
"346.422467,425.005955,INT","346.422467","425.005955","INT","12","2","11","2"
"374.364754,293.403415,INT","374.364754","293.403415","INT","6","8","16","8"
"408.984158,465.865982,INT","408.984158","465.865982","INT","15","0","10","0"
"320.013015,401.763441,INT","320.013015","401.763441","INT","15","0","10","0"
"331.288634,241.293388,INT","331.288634","241.293388","INT","15","0","10","0"
"333.860776,470.748468,INT","333.860776","470.748468","INT","15","0","10","0"
"361.803063,339.145928,INT","361.803063","339.145928","INT","12","2","11","2"
"267.276364,265.420883,INT","267.276364","265.420883","INT","15","0","10","0"
"253.948256,388.585924,INT","253.948256","388.585924","INT","9","4","12","4"
"315.223876,314.71841,INT","315.223876","314.71841","INT","15","0","10","0"
"404.195019,378.82095,INT","404.195019","378.82095","INT","15","0","10","0"
"240.100495,319.600897,INT","240.100495","319.600897","INT","15","0","10","0"
"418.042781,447.805977,INT","418.042781","447.805977","INT","15","0","10","0"
"329.071638,383.703437,INT","329.071638","383.703437","INT","15","0","10","0"
"308.135487,459.940959,INT","308.135487","459.940959","INT","15","0","10","0"
"336.077773,328.338419,INT","336.077773","328.338419","INT","12","2","11","2"
"280.439963,321.970906,INT","280.439963","321.970906","INT","15","0","10","0"
"310.954392,419.823446,INT","310.954392","419.823446","INT","15","0","10","0"
"322.230011,259.353392,INT","322.230011","259.353392","INT","15","0","10","0"
"383.258868,455.058473,INT","383.258868","455.058473","INT","6","8","16","8"
"411.201154,323.455932,INT","411.201154","323.455932","INT","15","0","10","0"
"372.047439,418.764708,INT","372.047439","418.764708","INT","15","0","10","0"
"283.076296,354.662168,INT","283.076296","354.662168","INT","15","0","10","0"
"344.351915,280.794654,INT","344.351915","280.794654","INT","3","8","14","8"
"374.866344,378.647194,INT","374.866344","378.647194","INT","15","0","10","0"
"140.044539,521.752293,MAJ","140.044539","521.752293","MAJ","35","25","0","0"
"440.044539,321.752293,MAJ","440.044539","321.752293","MAJ","19","5","8","8"
"590.044539,432.863404,MAJ","590.044539","432.863404","MAJ","31","20","2","2"
"18.169539,232.863404,MAJ","18.169539","232.863404","MAJ","29","10","10","10"
"543.169539,2.410729,MAJ","543.169539","2.410729","MAJ","19","5","8","8"
"130.669539,335.744062,MAJ","130.669539","335.744062","MAJ","21","25","15","15"
"580.669539,269.077396,MAJ","580.669539","269.077396","MAJ","14","20","15","15"
"111.919539,580.188507,MAJ","111.919539","580.188507","MAJ","7","13","12","12"
"224.419539,424.632951,MAJ","224.419539","424.632951","MAJ","27","15","4","4"
"149.419539,157.966285,MAJ","149.419539","157.966285","MAJ","14","20","15","15"
"449.419539,557.966285,MAJ","449.419539","557.966285","MAJ","7","15","15","15"
"599.419539,91.299618,MAJ","599.419539","91.299618","MAJ","24","17","5","5"
"0.298445,491.299618,MAJ","0.298445","491.299618","MAJ","14","18","12","12"
"75.298445,217.225544,MAJ","75.298445","217.225544","MAJ","35","25","0","0"
"225.298445,550.558877,MAJ","225.298445","550.558877","MAJ","35","25","0","0"
"525.298445,350.558877,MAJ","525.298445","350.558877","MAJ","31","20","2","2"
"19.048445,395.003322,MAJ","19.048445","395.003322","MAJ","35","25","0","0"
"169.048445,528.336655,MAJ","169.048445","528.336655","MAJ","35","25","0","0"
"469.048445,328.336655,MAJ","469.048445","328.336655","MAJ","35","25","0","0"
"94.048445,39.447766,MAJ","94.048445","39.447766","MAJ","35","25","0","0"
"244.048445,239.447766,INT","244.048445","239.447766","INT","19","5","8","5"
"544.048445,172.781099,MAJ","544.048445","172.781099","MAJ","28","22","3","3"
"506.548445,506.114433,MAJ","506.548445","506.114433","MAJ","35","25","0","0"
"131.548445,306.114433,MAJ","131.548445","306.114433","MAJ","35","25","0","0"
"431.548445,9.818136,MAJ","431.548445","9.818136","MAJ","35","25","0","0"
"581.548445,209.818136,MAJ","581.548445","209.818136","MAJ","35","25","0","0"
"9.673445,143.15147,MAJ","9.673445","143.15147","MAJ","22","5","10","10"
"309.673445,543.15147,MAJ","309.673445","543.15147","MAJ","29","10","10","10"
"159.673445,343.15147,MAJ","159.673445","343.15147","MAJ","29","10","10","10"
"384.673445,276.484803,INT","384.673445","276.484803","INT","15","0","10","0"
"234.673445,54.262581,MAJ","234.673445","54.262581","MAJ","20","18","16","16"
"422.173445,520.929247,INT","422.173445","520.929247","INT","19","5","8","5"
"515.923445,140.682334,MAJ","515.923445","140.682334","MAJ","35","25","0","0"
"140.923445,540.682334,MAJ","140.923445","540.682334","MAJ","35","25","0","0"
"440.923445,340.682334,INT","440.923445","340.682334","INT","19","5","8","5"
"117.485945,229.571223,MAJ","117.485945","229.571223","MAJ","22","5","10","10"
"417.485945,162.904556,MIN","417.485945","162.904556","MIN","0","10","15","0"
"267.485945,562.904556,MAJ","267.485945","562.904556","MAJ","22","5","10","10"
"567.485945,362.904556,MAJ","567.485945","362.904556","MAJ","22","5","10","10"
"23.735945,96.237889,MAJ","23.735945","96.237889","MAJ","26","10","8","8"
"173.735945,296.237889,MAJ","173.735945","296.237889","MAJ","26","10","8","8"
"473.735945,22.163815,MAJ","473.735945","22.163815","MAJ","15","0","10","10"
"398.735945,222.163815,MAJ","398.735945","222.163815","MAJ","13","9","10","10"
"136.235945,66.60826,MAJ","136.235945","66.60826","MAJ","22","5","10","10"
"586.235945,199.941593,MAJ","586.235945","199.941593","MAJ","35","25","0","0"
"14.360945,599.941593,MAJ","14.360945","599.941593","MAJ","15","0","10","10"
"239.360945,444.386038,MAJ","239.360945","444.386038","MAJ","23","10","6","6"
"201.860945,377.719371,MAJ","201.860945","377.719371","MAJ","36","15","10","10"
"276.860945,14.756408,MAJ","276.860945","14.756408","MAJ","21","21","9","9"
"576.860945,414.756408,MAJ","576.860945","414.756408","MAJ","35","25","0","0"
"33.110945,214.756408,MAJ","33.110945","214.756408","MAJ","35","25","0","0"
"183.110945,548.089741,MAJ","183.110945","548.089741","MAJ","35","25","0","0"
"483.110945,348.089741,MAJ","483.110945","348.089741","MAJ","31","20","2","2"
"108.110945,81.423075,MAJ","108.110945","81.423075","MAJ","31","20","2","2"
"370.610945,259.200852,INT","370.610945","259.200852","INT","15","0","10","0"
"220.610945,192.534186,MIN","220.610945","192.534186","MIN","6","6","13","6"
"452.642195,170.311964,MAJ","452.642195","170.311964","MAJ","24","17","5","5"
"40.142195,303.645297,MAJ","40.142195","303.645297","MAJ","7","15","15","15"
"340.142195,4.879865,MAJ","340.142195","4.879865","MAJ","22","11","19","19"
"190.142195,404.879865,MAJ","190.142195","404.879865","MAJ","35","25","0","0"
"415.142195,538.213198,MAJ","415.142195","538.213198","MAJ","15","0","10","10"
"171.392195,49.324309,MAJ","171.392195","49.324309","MAJ","19","5","8","8"
"96.392195,249.324309,MAJ","96.392195","249.324309","MAJ","35","25","0","0"
"396.392195,182.657643,MIN","396.392195","182.657643","MIN","0","10","15","0"
"246.392195,582.657643,MAJ","246.392195","582.657643","MAJ","35","25","0","0"
"546.392195,382.657643,MAJ","546.392195","382.657643","MAJ","35","25","0","0"
"58.892195,115.990976,MAJ","58.892195","115.990976","MAJ","22","5","10","10"
"358.892195,515.990976,INT","358.892195","515.990976","INT","15","0","10","0"
"208.892195,315.990976,MAJ","208.892195","315.990976","MAJ","19","5","8","8"
"508.892195,27.102087,MAJ","508.892195","27.102087","MAJ","22","5","10","10"
"433.892195,227.102087,MAJ","433.892195","227.102087","MAJ","10","15","17","17"
"583.892195,560.43542,MAJ","583.892195","560.43542","MAJ","22","5","10","10"
"12.017195,360.43542,MAJ","12.017195","360.43542","MAJ","21","25","15","15"
"162.017195,493.768754,MAJ","162.017195","493.768754","MAJ","35","25","0","0"
"462.017195,293.768754,MAJ","462.017195","293.768754","MAJ","35","25","0","0"
"87.017195,19.69468,MAJ","87.017195","19.69468","MAJ","35","25","0","0"
"237.017195,219.69468,MAJ","237.017195","219.69468","MAJ","16","7","9","9"
"537.017195,153.028013,MAJ","537.017195","153.028013","MAJ","35","25","0","0"
"49.517195,553.028013,MAJ","49.517195","553.028013","MAJ","29","10","10","10"
"499.517195,486.361346,MAJ","499.517195","486.361346","MAJ","35","25","0","0"
"124.517195,286.361346,MAJ","124.517195","286.361346","MAJ","35","25","0","0"
"424.517195,64.139124,MAJ","424.517195","64.139124","MAJ","10","11","11","11"
"30.767195,197.472457,MAJ","30.767195","197.472457","MAJ","35","25","0","0"
"330.767195,597.472457,MAJ","330.767195","597.472457","MAJ","31","20","2","2"
"180.767195,397.472457,MAJ","180.767195","397.472457","MAJ","21","25","15","15"
"255.767195,41.916902,MAJ","255.767195","41.916902","MAJ","23","10","6","6"
"68.267195,241.916902,MAJ","68.267195","241.916902","MAJ","35","25","0","0"
"218.267195,575.250235,MAJ","218.267195","575.250235","MAJ","35","25","0","0"
"518.267195,375.250235,MAJ","518.267195","375.250235","MAJ","28","22","3","3"
"593.267195,12.287272,MAJ","593.267195","12.287272","MAJ","27","15","4","4"
"7.329695,412.287272,MAJ","7.329695","412.287272","MAJ","35","25","0","0"
"307.329695,212.287272,INT","307.329695","212.287272","INT","3","8","14","8"
"438.579695,134.921017,INT","438.579695","134.921017","INT","9","4","12","4"
"391.704695,246.032128,INT","391.704695","246.032128","INT","15","0","10","0"
"485.454695,490.476573,MAJ","485.454695","490.476573","MAJ","35","25","0","0"
"110.454695,290.476573,MAJ","110.454695","290.476573","MAJ","35","25","0","0"
"410.454695,16.402499,MAJ","410.454695","16.402499","MAJ","29","10","10","10"
"260.454695,416.402499,INT","260.454695","416.402499","INT","15","0","10","0"
"560.454695,216.402499,MAJ","560.454695","216.402499","MAJ","31","20","2","2"
"147.954695,483.069165,MAJ","147.954695","483.069165","MAJ","27","15","4","4"
"447.954695,283.069165,MAJ","447.954695","283.069165","MAJ","27","15","4","4"
"597.954695,460.846943,MAJ","597.954695","460.846943","MAJ","23","10","6","6"
"226.47032,327.51361,INT","226.47032","327.51361","INT","19","5","8","5"
"338.97032,238.624721,INT","338.97032","238.624721","INT","15","0","10","0"
"207.72032,453.439536,MAJ","207.72032","453.439536","MAJ","35","25","0","0"
"507.72032,253.439536,MAJ","507.72032","253.439536","MAJ","35","25","0","0"
"432.72032,586.772869,MAJ","432.72032","586.772869","MAJ","35","25","0","0"
"85.84532,231.217313,MAJ","85.84532","231.217313","MAJ","35","25","0","0"
"235.84532,564.550647,MAJ","235.84532","564.550647","MAJ","35","25","0","0"
"535.84532,364.550647,MAJ","535.84532","364.550647","MAJ","35","25","0","0"
"48.34532,97.88398,MAJ","48.34532","97.88398","MAJ","26","10","8","8"
"198.34532,297.88398,MAJ","198.34532","297.88398","MAJ","23","10","6","6"
"498.34532,6.525955,MAJ","498.34532","6.525955","MAJ","29","10","10","10"
"423.34532,206.525955,MAJ","423.34532","206.525955","MAJ","21","19","6","6"
"179.59532,473.192622,MAJ","179.59532","473.192622","MAJ","35","25","0","0"
"479.59532,273.192622,MAJ","479.59532","273.192622","MAJ","35","25","0","0"
"104.59532,50.9704,MAJ","104.59532","50.9704","MAJ","35","25","0","0"
"554.59532,184.303733,MAJ","554.59532","184.303733","MAJ","35","25","0","0"
"67.09532,584.303733,MAJ","67.09532","584.303733","MAJ","31","20","2","2"
"517.09532,517.637066,MAJ","517.09532","517.637066","MAJ","31","20","2","2"
"142.09532,317.637066,MAJ","142.09532","317.637066","MAJ","35","25","0","0"
"442.09532,28.748178,MAJ","442.09532","28.748178","MAJ","35","25","0","0"
"592.09532,228.748178,MAJ","592.09532","228.748178","MAJ","35","25","0","0"
"6.15782,162.081511,MAJ","6.15782","162.081511","MAJ","29","10","10","10"
"306.15782,562.081511,MAJ","306.15782","562.081511","MAJ","36","15","10","10"
"456.15782,95.414844,MAJ","456.15782","95.414844","MAJ","6","6","13","13"
"231.15782,21.34077,MAJ","231.15782","21.34077","MAJ","28","22","3","3"
"531.15782,421.34077,MAJ","531.15782","421.34077","MAJ","21","23","12","12"
"43.65782,221.34077,MAJ","43.65782","221.34077","MAJ","35","25","0","0"
"193.65782,554.674103,MAJ","193.65782","554.674103","MAJ","35","25","0","0"
"493.65782,354.674103,MAJ","493.65782","354.674103","MAJ","35","25","0","0"
"24.90782,465.785215,MAJ","24.90782","465.785215","MAJ","21","23","12","12"
"474.90782,599.118548,MAJ","474.90782","599.118548","MAJ","19","5","8","8"
"99.90782,399.118548,MAJ","99.90782","399.118548","MAJ","18","0","12","12"
"249.90782,532.451881,MAJ","249.90782","532.451881","MAJ","15","0","10","10"
"549.90782,332.451881,MAJ","549.90782","332.451881","MAJ","15","0","10","10"
"203.03282,58.377807,MAJ","203.03282","58.377807","MAJ","7","13","12","12"
"503.03282,458.377807,MAJ","503.03282","458.377807","MAJ","31","20","2","2"
"128.03282,258.377807,MAJ","128.03282","258.377807","MAJ","35","25","0","0"
"428.03282,191.711141,MAJ","428.03282","191.711141","MAJ","14","16","9","9"
"278.03282,591.711141,MAJ","278.03282","591.711141","MAJ","35","25","0","0"
"578.03282,391.711141,MAJ","578.03282","391.711141","MAJ","35","25","0","0"
"378.81407,48.501264,MAJ","378.81407","48.501264","MAJ","22","9","16","16"
"228.81407,448.501264,MAJ","228.81407","448.501264","MAJ","27","15","4","4"
"528.81407,248.501264,MAJ","528.81407","248.501264","MAJ","26","10","8","8"
"41.31407,181.834597,MAJ","41.31407","181.834597","MAJ","29","10","10","10"
"341.31407,581.834597,MAJ","341.31407","581.834597","MAJ","29","10","10","10"
"191.31407,381.834597,MAJ","191.31407","381.834597","MAJ","36","15","10","10"
"116.31407,515.167931,MAJ","116.31407","515.167931","MAJ","27","15","4","4"
"416.31407,315.167931,INT","416.31407","315.167931","INT","15","0","10","0"
"266.31407,26.279042,MAJ","266.31407","26.279042","MAJ","31","20","2","2"
"566.31407,426.279042,MAJ","566.31407","426.279042","MAJ","31","20","2","2"
"22.56407,226.279042,MAJ","22.56407","226.279042","MAJ","35","25","0","0"
"472.56407,359.612375,MAJ","472.56407","359.612375","MAJ","27","15","4","4"
"360.06407,218.871634,MAJ","360.06407","218.871634","MAJ","9","4","12","12"
"285.06407,485.538301,INT","285.06407","485.538301","INT","19","5","8","5"
"585.06407,285.538301,MAJ","585.06407","285.538301","MAJ","14","20","15","15"
"463.18907,196.649412,MAJ","463.18907","196.649412","MAJ","14","20","15","15"
